îNåéì˙,ïΩãœãCâ∑(Åé),ïΩãœåªínãCà≥(hPa),ç≈ëÂïóë¨(m/s),ç≈ëÂïóë¨(m/s),ç≈í·ãCâ∑(Åé),ç≈çÇãCâ∑(Åé)
2021/9/29,24.3,1004.7,7.7,ìå,21.6,26.3
2021/9/30,24.1,997.7,9.6,ñkìå,22.7,25.9
2021/10/1,25.5,990.9,8,ñkìå,23.1,28.1
2021/10/2,24.1,1002.8,8.5,êº,20.7,27.5
2021/10/3,23.5,1013.9,7.2,ìå,19.6,27.5
2021/10/4,24.4,1017.1,5.3,ìåìÏìå,21.5,27.7
2021/10/5,23.5,1013.9,5.9,êº,20.5,26.8
2021/10/6,23.8,1009.4,4.4,êºñkêº,20.1,27
2021/10/7,24.8,1010.3,7.6,ìåñkìå,22.4,28.4
2021/10/8,23.9,1012.7,4.7,ìåñkìå,21.4,27.5
2021/10/9,24,1015.1,7.6,ìå,21.3,27.7
2021/10/10,24.4,1014,7.2,ìå,22.5,27.9
2021/10/11,24.3,1011,4.6,ìåñkìå,22.3,27.5
2021/10/12,24.4,1012.8,5.1,ìåìÏìå,21.6,27.9
2021/10/13,23.8,1011.8,4.5,ìå,22.2,27.3
2021/10/14,23.1,1008.7,5.9,ìåñkìå,21.2,26.4
2021/10/15,22.6,1007.2,3.8,ìÏìå,20.1,26
2021/10/16,23.4,1005.4,6.1,ìÏêº,20.2,27.2
2021/10/17,19.5,1005,6.7,ìÏêº,15.2,23.4
2021/10/18,16.3,1011.5,5.4,ñkñkìå,14.2,18.4
2021/10/19,17.5,1005.9,7.5,ñkìå,15,19.8
2021/10/20,16.2,1005.7,8.8,êºñkêº,13,18.7
2021/10/21,15.1,1008.8,3.9,ñkñkìå,12.6,18.1
2021/10/22,16.6,1005.8,5,êºñkêº,14.7,19.5
2021/10/23,16.5,1012.4,8.3,ñkñkêº,13.3,20.7
2021/10/24,16.6,1016.2,5.5,ñkìå,12.1,20.5
2021/10/25,16.2,1009.6,10.1,ìåñkìå,14.7,18.8
2021/10/26,17.9,1006.2,4.2,ñkìå,14,23.1
2021/10/27,19.1,1007.9,6.9,êº,15.9,23.9
2021/10/28,18.6,1007.9,6.8,ñkñkêº,15.9,22.5
2021/10/29,17.5,1011,4.7,ìÏìå,14.4,22.2
2021/10/30,17.8,1015.4,5.9,ñkìå,15,21.1
2021/10/31,18.9,1013.4,7.2,ñkìå,17.2,21.7
2021/11/1,19.3,1011.3,4.8,ìåìÏìå,16.4,22.6
2021/11/2,19.2,1007.4,4.6,ñk,16.6,23.5
2021/11/3,18,1005.8,5.9,êº,14.7,21.5
2021/11/4,17.8,1006.7,8.5,êº,13.8,22.4
2021/11/5,17.3,1009.7,4.2,êºìÏêº,14.5,20.8
2021/11/6,17.2,1010.1,6.1,ñkìå,14.6,20.2
2021/11/7,16.9,1010.1,10.4,ìåñkìå,15.9,18.8
2021/11/8,20.3,1007.5,10.8,ìå,18,23.4
2021/11/9,18.3,998.1,9.4,êº,14.5,22
2021/11/10,15.7,999,11.7,êº,13.6,17.5
2021/11/11,16,1001.6,13.1,êº,12.7,18
2021/11/12,14.5,1005.4,11.5,êº,11.9,16.9
2021/11/13,13.8,1011.1,6,êºñkêº,11.1,16.8
2021/11/14,14.9,1010.8,6.5,êº,12.2,18.3
2021/11/15,15,1010.8,4.5,êºñkêº,11.3,19.8
2021/11/16,16.1,1011.6,7.9,êº,12.6,20.2
2021/11/17,16,1012.3,4.5,ìÏìå,12.9,19.8
2021/11/18,15.5,1010.5,4.1,ñkìå,13.4,17.9
2021/11/19,16.1,1008.4,4.4,ìåñkìå,14.1,20
2021/11/20,16.2,1009.6,4.5,ñkñkìå,13.3,20.2
2021/11/21,16.9,1011,5.7,ìåñkìå,13.9,19.7
2021/11/22,17.8,999.9,10.5,ìÏêº,13.5,20.9
2021/11/23,11.6,1003.3,10.2,êº,10.1,13.6
2021/11/24,12.1,1007.7,10.7,êºñkêº,10.8,14.1
2021/11/25,14.6,1008.8,8.3,êº,10.2,17
2021/11/26,15.2,1010.7,8.8,êº,12.6,17.8
2021/11/27,10.7,1018.3,9.7,êºñkêº,6.3,13.5
2021/11/28,10,1022.8,4.4,êºìÏêº,5.7,14.1
2021/11/29,12.4,1020.4,4.3,ñkìå,8.6,16.1
2021/11/30,16.5,1009.7,12.5,ìÏìÏìå,12.3,19.6
2021/12/1,12.2,1000.3,13,êº,7.5,18.6
2021/12/2,9.1,1009.6,9.2,êºñkêº,6.1,12.3
2021/12/3,11.2,1007.7,8.7,êº,8.1,14.7
2021/12/4,10.6,1009.9,9.1,êºñkêº,8.7,12.4
2021/12/5,10,1018.1,5.2,ñkñkêº,7,13
2021/12/6,13.9,1015.6,6.2,ñkìå,9.5,17.8
2021/12/7,13.4,1008.6,4.7,ñkñkìå,11.6,14.5
2021/12/8,13.1,1012.1,6.7,êº,10.1,16.1
2021/12/9,12.7,1018.1,4.1,ìåñkìå,9.3,16.7
2021/12/10,14,1015.8,5.5,êºñkêº,11.1,17.5
2021/12/11,14.4,1015,7.8,êº,10.6,18.3
2021/12/12,15.2,1009,8.6,êº,12.4,18.3
2021/12/13,11.4,1009.8,9.3,êºñkêº,7.8,14.3
2021/12/14,10.4,1012.2,7.6,êº,6.2,13.5
2021/12/15,12.2,1012.9,8.1,êºñkêº,9.8,14.9
2021/12/16,13.8,1011.1,7.7,êºìÏêº,8.8,17.3
2021/12/17,12.6,997.9,16,êºñkêº,3.9,17.6
2021/12/18,5,1010.1,10.7,êºñkêº,2.7,7.6
2021/12/19,7.2,1009.7,8.8,êº,4.6,10
2021/12/20,8.7,1011.4,6.9,êºñkêº,6.2,11.9
2021/12/21,11.6,1008.2,7.8,êº,7.3,15
2021/12/22,12.3,1008.4,6.8,êºñkêº,9,15.4
2021/12/23,10.3,1013.7,4,ñkìå,6.8,14.3
2021/12/24,11.6,1009.7,5.8,êº,8.4,15.5
2021/12/25,11.1,1003.8,10.5,êºñkêº,7.2,13
2021/12/26,4.2,1010.3,11.9,êºñkêº,1.6,7.9
2021/12/27,4,1013.6,10,êºñkêº,1.5,6.2
2021/12/28,7.1,1016.3,10.1,êºñkêº,4.8,10
2021/12/29,9.7,1012.2,7.6,êº,5,13.8
2021/12/30,10.2,1005.6,13.4,êº,4.9,14.3
2021/12/31,5.3,1009.5,14.3,êºñkêº,4,6.8
2022/1/1,5.6,1016,9.2,êºñkêº,3.3,8.9
2022/1/2,7.8,1014.9,8,êº,3.3,10.6
2022/1/3,9.2,1012,6.2,êºñkêº,6.7,12.3
2022/1/4,8.9,1011.1,11.6,êºñkêº,7.2,10.9
2022/1/5,7.3,1014.7,5.7,êºñkêº,4.6,10
2022/1/6,6.6,1012.4,6.3,êºñkêº,5.3,8.7
2022/1/7,7,1015.3,6.6,ñkñkêº,4.5,10.1
2022/1/8,8.3,1014.4,7.9,êº,3.2,12.7
2022/1/9,11.1,1009.5,3.4,ñkñkìå,8,15.4
2022/1/10,11.5,1008.4,4.4,ñkñkìå,8.4,14.9
2022/1/11,9.2,999.3,10.6,êº,4.5,12.7
2022/1/12,5.1,1003.5,11.4,êºñkêº,3.9,6.9
2022/1/13,5.6,1001.8,13,êºñkêº,2.4,8.7
2022/1/14,4.7,1008.2,9.7,êºñkêº,1.9,7.1
2022/1/15,7.2,1012.4,8.2,êº,3.7,10.2
2022/1/16,9.6,1011.4,9.5,êº,5.1,12.9
2022/1/17,8.9,1008.8,10.2,êºñkêº,5.5,11.1
2022/1/18,5.5,1010.1,11.6,êºñkêº,3.7,7.6
2022/1/19,5.5,1010.9,7.9,êº,1.4,9.5
2022/1/20,5.8,1009,12.1,êº,3.8,8.3
2022/1/21,4.6,1015.7,6.9,êºñkêº,2.1,8.5
2022/1/22,6.3,1016.7,4.2,êº,2,10.7
2022/1/23,9.2,1010.8,6.2,ñkìå,6.4,10.7
2022/1/24,10.1,1004.2,4.8,ñkìå,7.1,14.6
2022/1/25,9.8,1009.1,4.8,ñkìå,5.5,14
2022/1/26,10.5,1009.2,9.4,êºñkêº,7.1,14.2
2022/1/27,9.6,1009.3,7.6,êº,6.6,13.7
2022/1/28,9.1,1007.9,8.9,êº,5.4,12.8
2022/1/29,9.1,1005.3,7.4,ñkñkêº,6.2,12.1
2022/1/30,7.8,1004.6,4.8,ñkñkêº,6,9.3
2022/1/31,7.5,1009.1,8.4,êºñkêº,5.1,10.3
2022/2/1,8.5,1010.9,12.2,êº,5.9,11.7
2022/2/2,7.1,1013.3,9.8,êºñkêº,4.5,10.5
2022/2/3,7.5,1010.6,7.5,êºñkêº,4.6,9.7
2022/2/4,7.2,1007.2,8,êºñkêº,4.8,11.4
2022/2/5,4.5,1007.2,9.9,êºñkêº,2.5,6.1
2022/2/6,4,1011.4,10.1,êºñkêº,2.4,6.2
2022/2/7,5.9,1015,10,êº,2.7,9.5
2022/2/8,6.5,1013.7,4.3,ñkêº,5.3,7.6
2022/2/9,8.7,1012.5,4.2,ñkìå,4.5,12.5
2022/2/10,7.9,1007.7,5.4,ìåñkìå,6.2,10.5
2022/2/11,8.7,1011.4,5,êºñkêº,3.9,13.9
2022/2/12,9.1,1014,4.3,ñkñkìå,5.3,13.3
2022/2/13,8.2,1008.8,8.1,ñkìå,6.9,9.7
2022/2/14,8.9,1007,5.7,ìåñkìå,7.5,10.9
2022/2/15,10.1,1005.8,13.3,êº,7,13.4
2022/2/16,6.1,1004.5,8.6,êº,3,8.7
2022/2/17,2.6,1009,10.1,ñkêº,0.7,4.5
2022/2/18,5.5,1017.7,6.2,êºñkêº,0.8,9.9
2022/2/19,8.8,1010,6.9,ìå,5.2,11.3
2022/2/20,7.1,1002.3,12.4,êºñkêº,3.3,10.7
2022/2/21,3.9,1013.3,9.8,êºñkêº,2.2,6.7
2022/2/22,5.2,1014.7,11,êºñkêº,2.5,8.9
2022/2/23,5,1015.8,7.9,êºñkêº,0.9,8.9
2022/2/24,5.4,1014.7,8.8,êº,3.1,9.7
2022/2/25,6.4,1014.9,11.5,êº,1.5,10.9
2022/2/26,9.2,1012.9,9.7,êº,3.8,12.9
2022/2/27,12.4,1008.4,13.5,êº,8.1,15
2022/2/28,11,1013.1,9.4,êº,5.9,14.9
2022/3/1,12.7,1005.8,10.9,êºìÏêº,8.4,16.2
2022/3/2,13.1,1003.5,9.6,êº,9.5,15.6
2022/3/3,11.1,1005.9,9.1,êº,7.9,15
2022/3/4,10.3,1008.9,7.2,êº,5.6,13.5
2022/3/5,13.3,1001.3,15,êº,8.6,16.5
2022/3/6,8.3,1004.5,11.4,ñkñkêº,5.5,11.2
2022/3/7,7.2,1008.9,4.8,ñkñkêº,3.6,10.1
2022/3/8,9.5,1007.6,7.3,êº,4.9,13.5
2022/3/9,10.8,1010.6,4.4,êº,7,15
2022/3/10,11.7,1013.6,7,êº,7.8,16
2022/3/11,13.6,1012.1,8.9,êº,9,16.4
2022/3/12,16,1010.8,9.6,êº,14,18.7
2022/3/13,16.6,1010,6.1,ìÏìÏêº,13.8,19.2
2022/3/14,17.3,1004.8,10.1,ìÏêº,15.7,19.4
2022/3/15,17.2,1002.2,9,êº,13.3,22.2
2022/3/16,15.1,1006.4,8.1,êº,11.6,19
2022/3/17,15.6,1008.8,5.8,ìÏìå,11.9,19.2
2022/3/18,14.8,996,10.1,ìåñkìå,13.5,15.8
2022/3/19,12.5,993.5,13.1,êº,10.1,16
2022/3/20,11.3,1006.1,9.2,êº,8.5,15.4
2022/3/21,11.7,1012.7,5.2,ìÏìå,8.1,15.7
2022/3/22,9,1008.4,6.9,ñkìå,7.9,11
2022/3/23,9.1,1008.2,8.9,ìåñkìå,6.7,13.1
2022/3/24,11.2,1010.1,11.3,êº,5.9,15.7
2022/3/25,13.2,1017.6,5.1,ìåìÏìå,8.9,16.9
2022/3/26,16.4,1003.6,11.1,ìÏ,12.7,18.3
2022/3/27,17,1000.1,11.6,êº,14,19.4
2022/3/28,15.2,1011.7,7,êº,13.7,17.1
2022/3/29,13.7,1018.1,6,ìåñkìå,13.2,15
2022/3/30,15.6,1015.6,4.5,êº,13,18.9
2022/3/31,16.2,1009.4,7.4,êº,13.8,19.1
2022/4/1,10.3,1012.9,6.1,ñkñkêº,6.9,14.7
2022/4/2,9.9,1017,6.2,ìåñkìå,6.2,13.4
2022/4/3,11.6,1015.6,9,ñkìå,10.1,12.6
2022/4/4,14.4,1014,6.8,êºñkêº,11.7,18.5
2022/4/5,13.6,1013.3,5.2,êºñkêº,9,17.7
2022/4/6,15.4,1011.4,8.3,êº,12.2,18.9
2022/4/7,16.3,1008.1,6.6,êº,12,19.7
2022/4/8,16.9,1009.9,9.4,êº,14.2,20.1
2022/4/9,16.8,1011.4,5.6,êºìÏêº,12.5,20.3
2022/4/10,17.5,1012.2,5.2,êºìÏêº,14.1,20.8
2022/4/11,17.9,1011.1,4.2,ìåìÏìå,14.6,21.4
2022/4/12,19.1,1006.7,4.5,ìÏêº,16.5,22.3
2022/4/13,20.2,1004.9,5.1,êºìÏêº,18.4,23.1
2022/4/14,19.8,1004.9,6.4,ìåñkìå,17.8,23.2
2022/4/15,18.6,998.8,9.3,ìåñkìå,16.9,22.9
2022/4/16,15.9,1000.5,5.3,ñkñkìå,12.5,19.4
2022/4/17,15.4,1008.1,7.2,ìåñkìå,11.4,19.5
2022/4/18,16.7,1007.1,4.8,êº,13.8,19.4
2022/4/19,17.8,1007.4,4.7,êº,14.9,21.2
2022/4/20,17.8,1010.3,5.1,ìåñkìå,14.3,21.4
2022/4/21,17.5,1007.8,10.1,ìÏìÏêº,16.3,20.6
2022/4/22,18.8,1004.5,10.5,êºìÏêº,17.1,21.2
2022/4/23,18.4,1005.5,7.9,êº,17.1,20.9
2022/4/24,16.9,1004.2,9,ñkìå,15.6,18.2
2022/4/25,18.9,1006.6,3.1,ìÏìå,17.1,22.5
2022/4/26,20.2,1003.8,8.7,ìÏìÏêº,18.3,21.8
2022/4/27,19.6,1002.6,10.8,êºìÏêº,18.7,20.7
2022/4/28,18.9,1007.1,7.7,ìåñkìå,17,22.7
2022/4/29,17.7,998.6,15.2,êº,13.2,21.8
2022/4/30,16,1005.7,9.4,êºñkêº,11.6,20.1
2022/5/1,16.5,1001.6,8.6,ìÏìå,13.8,20.1
2022/5/2,15.2,1003.5,9.7,êº,10.6,18.5
2022/5/3,15.2,1010.1,5.6,êº,11.4,19
2022/5/4,17.2,1014.6,5.9,êº,13,20.8
2022/5/5,18.3,1014.9,3.1,ìÏìÏêº,14.8,22.5
2022/5/6,18.6,1012.1,6.7,ìåñkìå,16.7,20.2
2022/5/7,19.7,1007.5,6.1,êº,17.5,23.8
2022/5/8,19.5,1007.1,9.7,êº,16.4,22.6
2022/5/9,17.3,1007.6,5.2,ìåñkìå,14.8,20.5
2022/5/10,17,1009.5,8.5,ñkìå,14.4,20.2
2022/5/11,17.7,1009.9,7.4,ñkìå,16,20.3
2022/5/12,18.6,1006.2,7.4,ìå,17.9,19.9
2022/5/13,19.8,999.3,9.9,ìÏìÏêº,18.4,21.4
2022/5/14,21.3,997.3,9.7,ìÏìÏêº,18,24.5
2022/5/15,18.5,1002.7,4.7,ìÏìå,15.4,22.6
2022/5/16,17,1004,2.5,ìå,15.2,19.5
2022/5/17,16.6,1007.2,3.1,ñkñkìå,15.2,18.8
2022/5/18,19.2,1011,6.1,ìåìÏìå,14.4,23.8
2022/5/19,20.3,1011.3,4.7,ìåìÏìå,15.5,24.1
2022/5/20,20.7,1008,4.7,êº,17.7,23.9
2022/5/21,17.4,1001.7,8.5,ìå,15.6,20.3
2022/5/22,20.3,998.3,12.3,êº,15.7,25.1
2022/5/23,22.1,1002.7,5.4,êº,18.4,25.4
2022/5/24,21.9,1007.2,6.5,ìåìÏìå,19.2,25.2
2022/5/25,22,1004.4,7,ìåñkìå,19.4,25.3
2022/5/26,21,999.9,9.9,ìÏìå,19.2,23.2
2022/5/27,22.1,992.5,10.7,êº,19.5,24.7
2022/5/28,22.6,997.5,10.6,êº,19.1,26
2022/5/29,22.7,999.6,6.5,êº,18.6,26.9
2022/5/30,21,996.7,8.2,ìåñkìå,19.3,23.5
2022/5/31,20.9,996.6,7.7,ñkìå,18.8,23.9
2022/6/1,20.6,1000.8,3.8,ñkìå,17.7,24.7
2022/6/2,21.2,1000.8,5.8,ìåìÏìå,16.5,25.2
2022/6/3,22.2,1001.1,9,êº,19.1,25.2
2022/6/4,22.1,1003.3,6.3,ìå,19.3,25.3
2022/6/5,20.8,1001,9.1,ìÏìå,17.4,22.7
2022/6/6,19.2,986.7,10.1,ñkìå,16.8,21.8
2022/6/7,21.2,994.8,10.1,êº,19.4,24.6
2022/6/8,20.6,1002.8,4.4,ìåìÏìå,16.8,24.2
2022/6/9,21.4,1006.1,5.9,ìå,17.7,25
2022/6/10,22,1008,5.7,ìåìÏìå,19,25.1
2022/6/11,20,1003.5,11.5,ìåñkìå,18.2,21.8
2022/6/12,22.5,1000.2,9.1,êº,18.7,27.1
2022/6/13,20.8,1003.2,6.4,ìåñkìå,17.7,23.6
2022/6/14,18.4,1002.5,13.5,ìåñkìå,17.4,19.4
2022/6/15,20,1002.5,11,ñkìå,18.2,21.8
2022/6/16,21.5,1003.7,5.3,ìÏêº,20,22.5
2022/6/17,23.2,1003.6,5.4,ìÏêº,21.9,25.5
2022/6/18,21.8,1002,7.8,ìå,20.7,23
2022/6/19,22.5,1002.5,5.1,êºìÏêº,20.8,24.1
2022/6/20,22.8,999.4,5.1,êºìÏêº,21.6,24.5
2022/6/21,22.5,1000,6.8,ìÏêº,21,23.7
2022/6/22,24.2,1001,7.4,ìÏêº,23,26.6
2022/6/23,24.5,1003.4,5.2,ìÏìå,22.2,26.6
2022/6/24,25.1,1001,8.9,êºìÏêº,24.1,26.5
2022/6/25,24.8,1003.5,9.5,êºìÏêº,23.7,26.8
2022/6/26,24.4,1008.7,9.5,êº,21.5,27
2022/6/27,25.2,1008.7,6.5,êº,24.1,26.7
2022/6/28,25.5,1006.7,6.3,êºìÏêº,24.3,27.4
2022/6/29,25.7,1006,6.8,êº,24.2,27.6
2022/6/30,26,1006.6,8.1,êº,24.4,28.1
2022/7/1,26,1008.1,6.9,êº,23.8,28.6
2022/7/2,26.2,1007.7,4.3,ìå,23,29.3
2022/7/3,24.6,1005.5,4.3,ñkìå,23.4,25.8
2022/7/4,23.7,1003.6,5,ìåñkìå,22.6,24.9
2022/7/5,24.6,999.5,10.3,êºìÏêº,23,26
2022/7/6,26.1,998.8,11.5,êº,24.3,28
2022/7/7,26.4,1001.8,5.9,ìå,24.2,29
2022/7/8,25.7,999.2,6.6,êºìÏêº,23.5,27.8
2022/7/9,26.1,995.5,3.8,ìÏìÏêº,24.1,29
2022/7/10,26.5,998,5.3,ìå,24.6,29.4
2022/7/11,26.7,1000.3,5,ìåìÏìå,24.5,29.4
2022/7/12,26.5,999.3,5.5,êºìÏêº,25.5,28.9
2022/7/13,26.6,997.1,5.6,êºìÏêº,24.4,29
2022/7/14,24.7,996,4.2,ñkìå,23,27.3
2022/7/15,25.7,993.8,5.8,êº,23.2,27.9
2022/7/16,24.4,992.9,7.6,ñkñkìå,20.8,27.4
2022/7/17,25.7,993.5,11,êº,22.8,28.4
2022/7/18,26.2,998.5,6.4,ìÏìÏêº,24.6,28.5
2022/7/19,26.4,997.2,11.2,êºìÏêº,25.5,28.1
2022/7/20,26.1,998.5,7.8,êº,24.2,28.3
2022/7/21,26.3,997.9,4.1,êºìÏêº,23.1,29.7
2022/7/22,27.1,994.1,11.1,êº,25.2,30.4
2022/7/23,26.3,996.9,4.9,êº,23.7,29.5
2022/7/24,26,1000.4,4,êºìÏêº,23,29.3
2022/7/25,26.8,1002.2,5.4,ìåìÏìå,23.7,29.8
2022/7/26,27.3,1001.7,3.8,ìÏìå,24.4,30.7
2022/7/27,27.7,1004.1,5.1,ìÏìå,25.9,30.7
2022/7/28,27.3,1006,6.7,ìåìÏìå,24.9,30.3
2022/7/29,27.3,1007.6,6.9,ìå,24.6,30.7
2022/7/30,27.5,1007.3,6.9,ìåìÏìå,25.2,30.5
2022/7/31,27.9,1007.1,4.7,ìÏìå,25.7,30.9
2022/8/1,28,1007,5,êº,25.4,30.6
2022/8/2,28.1,1006.7,8.7,êº,26.7,30
2022/8/3,28.3,1003.8,11.5,êº,27.3,30.4
2022/8/4,28.6,1001.1,8.5,êº,26.8,31.6
2022/8/5,26.2,999.4,8.2,ìåñkìå,23.4,31.4
2022/8/6,27.2,1001,4.9,ìå,24,30.9
2022/8/7,28.1,1003.5,5,ìåìÏìå,24.8,31.2
2022/8/8,28.2,1004.8,5.2,êºìÏêº,25.1,31.3
2022/8/9,29,1004.7,5,ìÏêº,26.3,31.7
2022/8/10,29.2,1003.9,4.3,êºìÏêº,27.4,32
2022/8/11,28.8,1002.8,5.1,ìåìÏìå,26.1,32
2022/8/12,27.9,1000.1,6.2,ìåñkìå,25.4,31.3
2022/8/13,28.7,999,13.4,êº,24.9,30.7
2022/8/14,29,1001.8,9.9,êºìÏêº,27.7,31.1
2022/8/15,29.1,1001.6,9,êºìÏêº,27.5,31.1
2022/8/16,28.7,1000.9,10.7,êºìÏêº,27.5,30.6
2022/8/17,28.3,1002.4,9,êºìÏêº,27.1,30.6
2022/8/18,27.2,999.3,9,ìÏêº,24.8,29.2
2022/8/19,26.8,998.6,7.1,êº,23.7,29.5
2022/8/20,27.7,996.7,6,êº,25.6,30.4
2022/8/21,27.8,996.2,5.7,ìå,26.2,30.9
2022/8/22,27.7,998,6.7,ìåñkìå,25.9,31.1
2022/8/23,28.1,998.4,3.6,ìÏìå,25.9,31.2
2022/8/24,28.5,998.1,5.3,êº,26.7,31.3
2022/8/25,28.6,997.9,5.8,êº,26.5,31.3
2022/8/26,27.8,997.4,5.1,ìÏìå,25.1,31.5
2022/8/27,27.8,998.6,3.6,ìÏ,25.9,30.9
2022/8/28,27.5,1002.3,5,ìåñkìå,24.9,30.5
2022/8/29,25.1,1007.2,9.3,ìåñkìå,22.9,28.3
2022/8/30,26.4,1004.1,7.1,ñkìå,23.7,29.1
2022/8/31,28.2,1001.6,5,ìÏìå,25.7,31.1
2022/9/1,28.5,1003.1,5.4,ìÏìÏêº,26.8,31
2022/9/2,27.6,1005.8,5.6,ìå,24.3,30.8
2022/9/3,26.9,1006.6,6,ìåìÏìå,23.8,30.8
2022/9/4,26.8,1006.6,5.9,ìåñkìå,24.3,30.1
2022/9/5,27.9,1005.6,6.4,ìÏìå,25.2,31
2022/9/6,28.2,1002.3,7.9,ìÏìå,25.4,31
2022/9/7,27.9,1003.1,5.3,ìåìÏìå,25.9,31.5
2022/9/8,25.9,1004.8,6.3,ìåñkìå,24.5,28.5
2022/9/9,25.3,1005.1,6.1,ñkìå,24.1,27.4
2022/9/10,25.7,1006.4,5.9,ìåñkìå,24.8,27.5
2022/9/11,26.9,1005.9,7,ìåñkìå,25.3,29.5
2022/9/12,26.6,1004.8,7.7,ìåñkìå,25,29.1
2022/9/13,26.8,1005.7,6.8,ìåñkìå,24.4,29.8
2022/9/14,27.8,1005.7,7,ñkìå,25.8,30.3
2022/9/15,26.4,1004.9,8.8,ìå,24.7,29.1
2022/9/16,26.9,1003.3,9.7,ìåñkìå,25,29
2022/9/17,26.8,1001.1,9.9,ìå,24.7,28.5
2022/9/18,27.9,997,12,ìåìÏìå,26.9,29.1
2022/9/19,27.6,989.5,12.3,ìÏìå,24.5,29
2022/9/20,24.2,993.6,10,êº,20.7,27.8
2022/9/21,22.9,1004,6.6,ñkìå,19.6,26.7
2022/9/22,22,1006.5,9.8,ñkìå,20.5,24.7
2022/9/23,23.5,1000.8,9.7,ìåñkìå,22.1,24.7
2022/9/24,25.5,1001.4,9.5,êº,22.3,29.2
2022/9/25,24.3,1006,5.2,ìåñkìå,21.5,27.7
2022/9/26,25.4,1007.2,6,ìåìÏìå,23.2,28.7
2022/9/27,24.8,1004.7,6.2,ìåñkìå,23.1,27.5
2022/9/28,23.7,1002,5,ìåìÏìå,21.5,26.5
2022/9/29,23.8,1004,5,ìå,21.6,27.1
